docket,plant_name,unit,reactor_type,nss_vendor,thermal_power_mwt,license_number,location,owner_operator,nrc_region
05000397,Columbia Generating Station,1,BWR,General Electric,,NPF-21,"20 mi NNE of Pasco, WA","Energy Northwest",4
05000445,Comanche Peak,1,PWR,,,NPF-87,"40 mi SW of Fort Worth, TX","Vistra Operations Company, LLC",4
05000446,Comanche Peak,2,PWR,,,NPF-89,"40 mi SW of Fort Worth, TX","Vistra Operations Company, LLC",4
05000298,Cooper,1,BWR,General Electric,,DPR-46,"23 mi S of Nebraska City, NE","Nebraska Public Power District",4
05000315,D.C. Cook,1,PWR,,,DPR-58,"13 mi S of Benton Harbor, MI","Indiana/Michigan Power Co.",3
05000316,D.C. Cook,2,PWR,,,DPR-74,"13 mi S of Benton Harbor, MI","Indiana/Michigan Power Co.",3
05000346,Davis-Besse,1,PWR,,,NPF-3,"21 mi ESE of Toledo, OH","Energy Harbor Nuclear Corp.",3
05000275,Diablo Canyon,1,PWR,,,DPR-80,"12 mi WSW of San Luis Obispo, CA","Pacific Gas & Electric Co.",4
05000323,Diablo Canyon,2,PWR,,,DPR-82,"12 mi WSW of San Luis Obispo, CA","Pacific Gas & Electric Co.",4
05000237,Dresden,2,BWR,General Electric,2957,DPR-19,"25 mi SW of Joliet, IL","Constellation Energy Generation, LLC",3
