eiis_code,type,canonical_name,reactor_scope,acronyms,source_standard,notes
66,component,"Device, Notching or Jogging",,,IEEE C37.2 device no.,
67,component,"Relay, AC Directional Overcurrent",,,IEEE C37.2 device no.,
68,component,"Relay, Blocking",,,IEEE C37.2 device no.,
69,component,"Control Device, Permissive",,,IEEE C37.2 device no.,
70,component,Rheostat,,,IEEE C37.2 device no.,
71,component,"Switch, Level",,,IEEE C37.2 device no.,
72,component,"Circuit Breaker, DC",,,IEEE C37.2 device no.,
73,component,"Contactor, Load-Resistor",,,IEEE C37.2 device no.,
74,component,"Relay, Alarm",,,IEEE C37.2 device no.,
75,component,"Mechanism, Position Changing",,,IEEE C37.2 device no.,
76,component,"Relay, DC Overcurrent",,,IEEE C37.2 device no.,
77,component,"Transmitter, Pulse",,,IEEE C37.2 device no.,
78,component,"Relay, Out-of-Step Protective or Phase-Angle",,,IEEE C37.2 device no.,
79,component,"Relay, AC Reclosing",,,IEEE C37.2 device no.,
80,component,"Switch, Flow",,,IEEE C37.2 device no.,
82,component,"Relay, DC Reclosing",,,IEEE C37.2 device no.,
83,component,"Relay, Automatic Selective Control or",,,IEEE C37.2 device no.,
84,component,Operating Mechanism,,,IEEE C37.2 device no.,
85,component,"Relay, Carrier/Pilot-Wire Receiver",,,IEEE C37.2 device no.,
86,component,"Relay, Locking-Out",,,IEEE C37.2 device no.,
87,component,"Relay, Differential Protective",,,IEEE C37.2 device no.,
88,component,"Generator, Auxiliary Motor or Motor",,,IEEE C37.2 device no.,
89,component,"Switch, Line",,,IEEE C37.2 device no.,
90,component,Regulating Device,,,IEEE C37.2 device no.,
91,component,"Relay, Voltage Directional 14 IEEE",,,IEEE C37.2 device no.,
93,component,"Contactor, Field Changing",,,IEEE C37.2 device no.,
94,component,"Relay, Tripping",,,IEEE C37.2 device no.,
95,component,"Relay, Phase Discordance Handling Unit",,,IEEE C37.2 device no.,
AA,component,"Alarm, Analyzer",,,ISA S5.1-1984,code also a SYSTEM (Control Rod Drive System)
AB,component,"Isolator, Analyzer",,,ISA S5.1-1984,code also a SYSTEM (Reactor Coolant System (PWR))
ABLR,component,"Boiler, Auxiliary",,,IEEE 803.1-1992,
ABS,component,Absorber,,,IEEE 803.1-1992,
AC,component,"Control, Analyzer",,,ISA S5.1-1984,code also a SYSTEM (Reactor Core System)
ACC,component,Accumulator,,,IEEE 803.1-1992,
ACO,component,"Control Operator, Analyzer",,,IEEE 803.1-1992,
ACU,component,Packaged HVAC Assembly (See: A/C Unit),,,IEEE 803.1-1992,
ACV,component,"Valve, Control, Analyzer",,,ISA S5.1-1984,
ADJ,component,"Adjuster, Rod",,,IEEE 803.1-1992,
ADS,component,Adsorber,,,IEEE 803.1-1992,
AE,component,"Primary Element, Analyzer",,,ISA S5.1-1984,
AER,component,Aerator,,,IEEE 803.1-1992,
AFRG,component,"Regulator, Air Filter",,,IEEE 803.1-1992,
AGT,component,Agitator,,,IEEE 803.1-1992,
AHU,component,Heating and Ventilating Unit (See: Air,,,IEEE 803.1-1992,
AI,component,"Indicator, Analyzer",,,ISA S5.1-1984,
AIC,component,"Control, Indicating, Analyzer",,,ISA S5.1-1984,
AIK,component,"Control Station, Indicating, Analyzer",,,ISA S5.1-1984,
AIR,component,"Recorder, Indicating, Analyzer",,,ISA S5.1-1984,
AIS,component,"Switch, Indicating, Analyzer",,,ISA S5.1-1984,
AIT,component,"Transmitter, Indicating, Analyzer",,,ISA S5.1-1984,
AITS,component,"Switch, Transmitting, Indicating, Analyzer",,,IEEE 803.1-1992,
AL,component,Air Lock,,,IEEE 803.1-1992,
ALM,component,Alarm,,,IEEE 803.1-1992,
ALT,component,Alternater,,,IEEE 803.1-1992,
AM,component,"Modifier, Analyzer",,,IEEE 803.1-1992,
AMP,component,Amplifier,,,IEEE 803.1-1992,
ANC,component,Anchor,,,IEEE 803.1-1992,
ANN,component,Whistle (See: Annunciator),,,IEEE 803.1-1992,
ANO,component,Anode,,,IEEE 803.1-1992,
ANT,component,Antenna,,,IEEE 803.1-1992,
APHT,component,Air Preheater (Gas to Air),,,IEEE 803.1-1992,
AR,component,"Recorder, Analyzer",,,ISA S5.1-1984,
ARC,component,"Control, Recording, Analyzer",,,ISA S5.1-1984,
ARK,component,"Control Station, Recording, Analyzer",,,ISA S5.1-1984,
AS,component,"Switch, Analyzer Than 30 A",,,ISA S5.1-1984,
